"name","size"
"typeB_okayama_2020_07.zip",236813568
"typeB_shimane_2020_07.zip",259931754
"typeB_tottori_2020_07.zip",303661493
"typeB_wakayama_2020_07.zip",356094766
"typeB_nara_2020_07.zip",798012016
"typeB_hyogo_2020_07.zip",522889012
"typeB_kochi_2020_07.zip",278991780
"typeB_ehime_2020_07.zip",424828506
"typeB_kagawa_2020_07.zip",181135922
"typeB_tokushima_2020_07.zip",172352056
"typeB_yamaguchi_2020_07.zip",189719559
"typeB_hiroshima_2020_07.zip",195108582
"typeB_okinawa_2020_07.zip",372358918
"typeB_kagoshima_2020_07.zip",486045079
"typeB_miyazaki_2020_07.zip",408043039
"typeB_oita_2020_07.zip",390646021
"typeB_kumamoto_2020_07.zip",623796816
"typeB_nagasaki_2020_07.zip",138883389
"typeB_saga_2020_07.zip",189203977
"typeB_fukuoka_2020_07.zip",1335687269
"typeB_hakodate_2020_08.zip",252524323
"typeB_sapporo_2020_08.zip",1197547913
"typeB_kitami_2020_08.zip",195985898
"typeB_kushiro_2020_08.zip",327819739
"typeB_asahikawa_2020_08.zip",286904285
"typeB_tochigi_2020_08.zip",155148587
"typeB_ibaraki_2020_08.zip",837896384
"typeB_fukushima_2020_08.zip",309646535
"typeB_yamagata_2020_08.zip",379881268
"typeB_akita_2020_08.zip",105709387
"typeB_miyagi_2020_08.zip",590464806
"typeB_iwate_2020_08.zip",691658784
"typeB_aomori_2020_08.zip",454357087
"typeB_yamanashi_2020_08.zip",110461699
"typeB_kanagawa_2020_08.zip",1658802186
"typeB_tokyo_2020_08.zip",1236865357
"typeB_chiba_2020_08.zip",707988504
"typeB_saitama_2020_08.zip",758255911
"typeB_gumma_2020_08.zip",512421629
"typeB_ishikawa_2020_08.zip",363636719
"typeB_toyama_2020_08.zip",399540823
"typeB_niigata_2020_08.zip",566258519
"typeB_nagano_2020_08.zip",732430985
"typeB_mie_2020_08.zip",242373893
"typeB_osaka_2020_08.zip",1218523082
"typeB_shiga_2020_08.zip",298477730
"typeB_shizuoka_2020_08.zip",340012082
"typeB_fukui_2020_08.zip",253746214
"typeB_aichi_2020_08.zip",379333972
"typeB_gifu_2020_08.zip",171403909
"typeB_kyoto_2020_08.zip",623058098
"typeB_tottori_2020_08.zip",303868453
"typeB_wakayama_2020_08.zip",354389976
"typeB_okayama_2020_08.zip",232189264
"typeB_hyogo_2020_08.zip",521261090
"typeB_shimane_2020_08.zip",256121977
"typeB_nara_2020_08.zip",789180089
"typeB_kagawa_2020_08.zip",181677134
"typeB_kochi_2020_08.zip",279955336
"typeB_yamaguchi_2020_08.zip",189383934
"typeB_ehime_2020_08.zip",420586953
"typeB_tokushima_2020_08.zip",172673418
"typeB_hiroshima_2020_08.zip",194528636
"typeB_okinawa_2020_08.zip",369221047
"typeB_kagoshima_2020_08.zip",485595282
"typeB_miyazaki_2020_08.zip",408755898
"typeB_oita_2020_08.zip",390079262
"typeB_kumamoto_2020_08.zip",620287041
"typeB_nagasaki_2020_08.zip",138844292
"typeB_saga_2020_08.zip",187798350
"typeB_fukuoka_2020_08.zip",1332060039
"typeB_kitami_2020_09.zip",189703073
"typeB_kushiro_2020_09.zip",316828053
"typeB_asahikawa_2020_09.zip",278827300
"typeB_hakodate_2020_09.zip",243066788
"typeB_sapporo_2020_09.zip",1159430571
"typeB_chiba_2020_09.zip",688821286
"typeB_saitama_2020_09.zip",729040477
"typeB_gumma_2020_09.zip",503948337
"typeB_tochigi_2020_09.zip",152762306
"typeB_ibaraki_2020_09.zip",812323985
"typeB_fukushima_2020_09.zip",298408177
"typeB_yamagata_2020_09.zip",366874548
