"name","size"
"typeB_toyama_2020_05.zip", 368.82M
"typeB_gifu_2020_05.zip", 161.66M
"typeB_niigata_2020_05.zip", 543.92M
"typeB_ishikawa_2020_05.zip", 349.57M
"typeB_nagano_2020_05.zip", 690.84M
"typeB_kanagawa_2020_05.zip",   1.54G
"typeB_yamanashi_2020_05.zip",  99.04M
"typeB_shizuoka_2020_05.zip", 323.35M
"typeB_mie_2020_05.zip", 230.54M
"typeB_shiga_2020_05.zip", 288.55M
"typeB_aichi_2020_05.zip", 357.7M
"typeB_kyoto_2020_05.zip", 592.54M
"typeB_saga_2020_06.zip", 173.94M
"typeB_nagasaki_2020_06.zip", 128.07M
"typeB_kumamoto_2020_06.zip", 572.32M
"typeB_oita_2020_06.zip", 361.61M
"typeB_miyazaki_2020_06.zip", 377.69M
"typeB_kagoshima_2020_06.zip", 451.19M
"typeB_okinawa_2020_06.zip", 344.19M
"typeB_ibaraki_2020_06.zip", 779.75M
"typeB_tokyo_2020_06.zip",   1.09G
"typeB_ehime_2020_06.zip", 393.78M
"typeB_kochi_2020_06.zip", 256.6M
"typeB_fukuoka_2020_06.zip",   1.2G
"typeB_shimane_2020_06.zip", 240.13M
"typeB_okayama_2020_06.zip", 218.91M
"typeB_hiroshima_2020_06.zip", 178.92M
"typeB_yamaguchi_2020_06.zip", 174.94M
"typeB_tokushima_2020_06.zip", 159.26M
"typeB_kagawa_2020_06.zip", 167.07M
"typeB_toyama_2020_06.zip", 365.67M
"typeB_ishikawa_2020_06.zip", 343.22M
"typeB_fukui_2020_06.zip", 236.21M
"typeB_gifu_2020_06.zip", 159.63M
"typeB_shizuoka_2020_06.zip", 313.88M
"typeB_aichi_2020_06.zip", 347.35M
"typeB_mie_2020_06.zip", 225.84M
"typeB_shiga_2020_06.zip", 278.77M
"typeB_kyoto_2020_06.zip", 575.84M
"typeB_osaka_2020_06.zip",   1.09G
"typeB_hyogo_2020_06.zip", 481.2M
"typeB_nara_2020_06.zip", 738.75M
"typeB_wakayama_2020_06.zip", 329.79M
"typeB_gumma_2020_06.zip", 480.43M
"typeB_saitama_2020_06.zip", 703.81M
"typeB_chiba_2020_06.zip", 656.53M
"typeB_kanagawa_2020_06.zip",   1.5G
"typeB_yamanashi_2020_06.zip", 100.25M
"typeB_nagano_2020_06.zip", 677.52M
"typeB_niigata_2020_06.zip", 526.29M
"typeB_fukushima_2020_06.zip", 286.11M
"typeB_tochigi_2020_06.zip", 144.93M
"typeB_sapporo_2020_06.zip",   1.09G
"typeB_hakodate_2020_06.zip", 233.11M
"typeB_asahikawa_2020_06.zip", 265.72M
"typeB_kushiro_2020_06.zip", 302.6M
"typeB_kitami_2020_06.zip", 181.77M
"typeB_aomori_2020_06.zip", 418.32M
"typeB_iwate_2020_06.zip", 640.54M
"typeB_miyagi_2020_06.zip", 546.52M
"typeB_akita_2020_06.zip", 100.37M
"typeB_yamagata_2020_06.zip", 350.02M
"typeB_tottori_2020_06.zip", 280.04M
"typeB_kushiro_2020_07.zip", 312.9M
"typeB_asahikawa_2020_07.zip", 274.2M
"typeB_hakodate_2020_07.zip", 241.83M
"typeB_sapporo_2020_07.zip",   1.12G
"typeB_yamanashi_2020_07.zip", 105.3M
"typeB_kanagawa_2020_07.zip",   1.54G
"typeB_tokyo_2020_07.zip",   1.15G
"typeB_chiba_2020_07.zip", 676.14M
"typeB_saitama_2020_07.zip", 726.97M
"typeB_gumma_2020_07.zip", 497.07M
"typeB_tochigi_2020_07.zip", 148.86M
"typeB_ibaraki_2020_07.zip", 803.7M
"typeB_fukushima_2020_07.zip", 292.51M
"typeB_yamagata_2020_07.zip", 362.55M
"typeB_akita_2020_07.zip", 103.61M
"typeB_miyagi_2020_07.zip", 565.34M
"typeB_iwate_2020_07.zip", 660.88M
"typeB_aomori_2020_07.zip", 433.42M
"typeB_kitami_2020_07.zip", 187.62M
"typeB_gifu_2020_07.zip", 164.67M
"typeB_fukui_2020_07.zip", 244.24M
"typeB_ishikawa_2020_07.zip", 355.35M
"typeB_toyama_2020_07.zip", 382.76M
"typeB_niigata_2020_07.zip", 542.53M
"typeB_nagano_2020_07.zip", 696.3M
"typeB_osaka_2020_07.zip",   1.14G
"typeB_kyoto_2020_07.zip", 594.3M
"typeB_shiga_2020_07.zip", 287.12M
"typeB_mie_2020_07.zip", 231.7M
"typeB_aichi_2020_07.zip", 359.88M
"typeB_shizuoka_2020_07.zip", 324.33M
"typeB_okayama_2020_07.zip", 225.84M
"typeB_shimane_2020_07.zip", 247.89M
"typeB_tottori_2020_07.zip", 289.59M
"typeB_wakayama_2020_07.zip", 339.6M
"typeB_nara_2020_07.zip", 761.04M
"typeB_hyogo_2020_07.zip", 498.67M
"typeB_kochi_2020_07.zip", 266.07M
"typeB_ehime_2020_07.zip", 405.15M
"typeB_kagawa_2020_07.zip", 172.74M
"typeB_tokushima_2020_07.zip", 164.37M
"typeB_yamaguchi_2020_07.zip", 180.93M
"typeB_hiroshima_2020_07.zip", 186.07M
"typeB_okinawa_2020_07.zip", 355.11M
"typeB_kagoshima_2020_07.zip", 463.53M
"typeB_miyazaki_2020_07.zip", 389.14M
